                Algoritmo Voraz
Problema                  n     K     m     z        S          CPU
MAXDIV/max_div_15_2.txt   15    2     2     11.8592  6 8        104  µs
MAXDIV/max_div_15_2.txt   15    2     3     25.6793  6 8 13     99   µs
MAXDIV/max_div_15_2.txt   15    2     4     40.4443  6 8 13 10  124  µs
MAXDIV/max_div_15_2.txt   15    2     5     69.0883  6 8 13 10 0 205  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_20_2.txt   20    2     2     6.7081  18 13      114  µs
MAXDIV/max_div_20_2.txt   20    2     3     13.5216  18 13 10   167  µs
MAXDIV/max_div_20_2.txt   20    2     4     29.7723  18 13 10 2 254  µs
MAXDIV/max_div_20_2.txt   20    2     5     44.2028  18 13 10 2 7 258  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_30_2.txt   30    2     2     11.6571  27 8       190  µs
MAXDIV/max_div_30_2.txt   30    2     3     23.6530  27 8 29    226  µs
MAXDIV/max_div_30_2.txt   30    2     4     43.3522  27 8 29 10 449  µs
MAXDIV/max_div_30_2.txt   30    2     5     61.0273  27 8 29 10 13 361  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_15_3.txt   15    3     2     5.9127  6 8        223  µs
MAXDIV/max_div_15_3.txt   15    3     3     30.2714  6 8 11     172  µs
MAXDIV/max_div_15_3.txt   15    3     4     52.7435  6 8 11 13  220  µs
MAXDIV/max_div_15_3.txt   15    3     5     79.3238  6 8 11 13 2 271  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_20_3.txt   20    3     2     3.1499  12 11      152  µs
MAXDIV/max_div_20_3.txt   20    3     3     23.5386  12 11 2    322  µs
MAXDIV/max_div_20_3.txt   20    3     4     40.3988  12 11 2 6  279  µs
MAXDIV/max_div_20_3.txt   20    3     5     67.4848  12 11 2 6 10 344  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_30_3.txt   30    3     2     2.2091  13 7       238  µs
MAXDIV/max_div_30_3.txt   30    3     3     16.9325  13 7 26    305  µs
MAXDIV/max_div_30_3.txt   30    3     4     28.0364  13 7 26 2  396  µs
MAXDIV/max_div_30_3.txt   30    3     5     59.5942  13 7 26 2 16 489  µs
------------------------------------------------------------------------------------
                Busqueda Local
Problema                  n     K     m     z        S          CPU
MAXDIV/max_div_15_2.txt   15    2     2     11.8592  6 8        115  µs
MAXDIV/max_div_15_2.txt   15    2     3     25.7318  5 8 13     71   µs
MAXDIV/max_div_15_2.txt   15    2     4     43.7567  0 8 13 10  43   µs
MAXDIV/max_div_15_2.txt   15    2     5     71.6520  1 8 13 10 0 68   µs
------------------------------------------------------------------------------------
MAXDIV/max_div_20_2.txt   20    2     2     8.1963  8 13       53   µs
MAXDIV/max_div_20_2.txt   20    2     3     14.5992  0 13 10    31   µs
MAXDIV/max_div_20_2.txt   20    2     4     34.5029  1 13 10 2  149  µs
MAXDIV/max_div_20_2.txt   20    2     5     44.8354  0 13 10 2 7 61   µs
------------------------------------------------------------------------------------
MAXDIV/max_div_30_2.txt   30    2     2     11.6571  27 8       221  µs
MAXDIV/max_div_30_2.txt   30    2     3     27.1012  1 8 29     46   µs
MAXDIV/max_div_30_2.txt   30    2     4     50.8481  1 8 29 10  65   µs
MAXDIV/max_div_30_2.txt   30    2     5     64.5790  0 8 29 10 13 65   µs
------------------------------------------------------------------------------------
MAXDIV/max_div_15_3.txt   15    3     2     6.1965  1 8        25   µs
MAXDIV/max_div_15_3.txt   15    3     3     30.9867  3 8 11     65   µs
MAXDIV/max_div_15_3.txt   15    3     4     55.8006  0 8 11 13  50   µs
MAXDIV/max_div_15_3.txt   15    3     5     80.8783  0 8 11 13 2 210  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_20_3.txt   20    3     2     10.1731  0 11       23   µs
MAXDIV/max_div_20_3.txt   20    3     3     25.2114  0 11 2     35   µs
MAXDIV/max_div_20_3.txt   20    3     4     40.8445  0 11 2 6   52   µs
MAXDIV/max_div_20_3.txt   20    3     5     72.1271  3 11 2 6 10 149  µs
------------------------------------------------------------------------------------
MAXDIV/max_div_30_3.txt   30    3     2     8.8046  0 7        29   µs
MAXDIV/max_div_30_3.txt   30    3     3     22.0225  0 7 26     41   µs
MAXDIV/max_div_30_3.txt   30    3     4     38.5183  0 7 26 2   58   µs
MAXDIV/max_div_30_3.txt   30    3     5     71.2165  0 7 26 2 16 80   µs
------------------------------------------------------------------------------------
                Algoritmo GRASP
Problema                  n     K     m     ITER  |LRC|     z        S                   CPU
MAXDIV/max_div_15_2.txt   15    2     2      20     2       11.8592  6 8                 6635 µs
MAXDIV/max_div_15_2.txt   15    2     2      20     3       11.6972  6 1                 5820 µs
MAXDIV/max_div_15_2.txt   15    2     2      10     2       11.8592  6 8                 2603 µs
MAXDIV/max_div_15_2.txt   15    2     2      10     3       11.8592  6 8                 2910 µs
MAXDIV/max_div_15_2.txt   15    2     3      20     2       25.2669  5 3 13              10939µs
MAXDIV/max_div_15_2.txt   15    2     3      20     3       27.3727  6 8 0               9637 µs
MAXDIV/max_div_15_2.txt   15    2     3      10     2       25.2669  5 3 13              8078 µs
MAXDIV/max_div_15_2.txt   15    2     3      10     3       27.2312  6 1 0               4625 µs
MAXDIV/max_div_15_2.txt   15    2     4      20     2       48.2478  1 3 6 10            17049µs
MAXDIV/max_div_15_2.txt   15    2     4      20     3       49.7633  9 0 6 8             19734µs
MAXDIV/max_div_15_2.txt   15    2     4      10     2       49.8268  5 8 6 0             8179 µs
MAXDIV/max_div_15_2.txt   15    2     4      10     3       47.6975  4 8 6 13            10354µs
MAXDIV/max_div_15_2.txt   15    2     5      20     2       74.7177  8 3 6 6 3           37044µs
MAXDIV/max_div_15_2.txt   15    2     5      20     3       75.0770  13 8 6 6 8          36451µs
MAXDIV/max_div_15_2.txt   15    2     5      10     2       76.6535  1 8 10 6 0          11639µs
MAXDIV/max_div_15_2.txt   15    2     5      10     3       74.7027  1 3 13 0 6          7728 µs
------------------------------------------------------------------------------------
MAXDIV/max_div_20_2.txt   20    2     2      20     2       8.5103  17 18               6972 µs
MAXDIV/max_div_20_2.txt   20    2     2      20     3       8.5103  18 17               6244 µs
MAXDIV/max_div_20_2.txt   20    2     2      10     2       8.3690  2 8                 3222 µs
MAXDIV/max_div_20_2.txt   20    2     2      10     3       8.5103  18 17               4163 µs
MAXDIV/max_div_20_2.txt   20    2     3      20     2       20.6020  4 17 18             14887µs
MAXDIV/max_div_20_2.txt   20    2     3      20     3       20.4092  9 8 18              13512µs
MAXDIV/max_div_20_2.txt   20    2     3      10     2       20.6419  1 2 10              6624 µs
MAXDIV/max_div_20_2.txt   20    2     3      10     3       19.8419  1 2 7               4932 µs
MAXDIV/max_div_20_2.txt   20    2     4      20     2       35.1704  13 12 10 2          18223µs
MAXDIV/max_div_20_2.txt   20    2     4      20     3       38.7492  9 8 18 2            23392µs
MAXDIV/max_div_20_2.txt   20    2     4      10     2       37.3498  13 8 18 2           6647 µs
MAXDIV/max_div_20_2.txt   20    2     4      10     3       37.6906  9 12 18 2           10886µs
MAXDIV/max_div_20_2.txt   20    2     5      20     2       60.4471  1 8 10 18 2         25695µs
MAXDIV/max_div_20_2.txt   20    2     5      20     3       55.7226  1 2 10 7 16         26964µs
MAXDIV/max_div_20_2.txt   20    2     5      10     2       59.7334  1 12 10 18 17       8757 µs
MAXDIV/max_div_20_2.txt   20    2     5      10     3       61.1310  1 8 18 17 10        11146µs
------------------------------------------------------------------------------------
MAXDIV/max_div_30_2.txt   30    2     2      20     2       9.9756  27 22               10021µs
MAXDIV/max_div_30_2.txt   30    2     2      20     3       9.9466  27 9                9005 µs
MAXDIV/max_div_30_2.txt   30    2     2      10     2       9.9756  27 22               4915 µs
MAXDIV/max_div_30_2.txt   30    2     2      10     3       9.1940  29 22               4057 µs
MAXDIV/max_div_30_2.txt   30    2     3      20     2       27.1012  1 8 29              11991µs
MAXDIV/max_div_30_2.txt   30    2     3      20     3       25.8351  9 8 27              19075µs
MAXDIV/max_div_30_2.txt   30    2     3      10     2       27.1012  1 8 29              5817 µs
MAXDIV/max_div_30_2.txt   30    2     3      10     3       25.8351  8 9 27              9648 µs
MAXDIV/max_div_30_2.txt   30    2     4      20     2       47.4388  9 8 27 27           41989µs
MAXDIV/max_div_30_2.txt   30    2     4      20     3       46.7893  8 29 27 9           17301µs
MAXDIV/max_div_30_2.txt   30    2     4      10     2       49.8806  1 8 13 10           8238 µs
MAXDIV/max_div_30_2.txt   30    2     4      10     3       44.7646  8 9 10 13           9896 µs
MAXDIV/max_div_30_2.txt   30    2     5      20     2       72.6332  11 22 27 27 8       67114µs
MAXDIV/max_div_30_2.txt   30    2     5      20     3       73.1392  1 22 29 10 27       34291µs
MAXDIV/max_div_30_2.txt   30    2     5      10     2       71.2490  10 22 27 27 8       15696µs
MAXDIV/max_div_30_2.txt   30    2     5      10     3       69.9831  8 9 10 27 10        13980µs
------------------------------------------------------------------------------------
MAXDIV/max_div_15_3.txt   15    3     2      20     2       11.0854  11 6                7694 µs
MAXDIV/max_div_15_3.txt   15    3     2      20     3       13.2732  8 11                5846 µs
MAXDIV/max_div_15_3.txt   15    3     2      10     2       12.0448  9 8                 3229 µs
MAXDIV/max_div_15_3.txt   15    3     2      10     3       12.0448  8 9                 3074 µs
MAXDIV/max_div_15_3.txt   15    3     3      20     2       25.5578  1 8 10              9851 µs
MAXDIV/max_div_15_3.txt   15    3     3      20     3       28.0904  3 8 9               10544µs
MAXDIV/max_div_15_3.txt   15    3     3      10     2       30.9867  3 8 11              4332 µs
